AreaLightJittering ,,,AreaLightNoJittering ,,,ThinLensJittering ,,,ThinLensNoJittering ,
1,0.245322236,,1,0.244629923,,1,0.6878013,,1,0.689464728
4,0.237074825,,4,0.239260164,,4,0.554655874,,4,0.583518435
9,0.229535452,,9,0.235507471,,9,0.458549456,,9,0.520858511
16,0.222265227,,16,0.232169436,,16,0.395382503,,16,0.478413203
25,0.21422948,,25,0.22761584,,25,0.347044409,,25,0.444184406
36,0.204209346,,36,0.224600802,,36,0.305727178,,36,0.417916146
49,0.194486385,,49,0.220458303,,49,0.274254867,,49,0.395543281
64,0.185825313,,64,0.217093582,,64,0.247945395,,64,0.376001568
81,0.1733776,,81,0.213611396,,81,0.225542709,,81,0.358743438
100,0.167010446,,100,0.211724581,,100,0.205814246,,100,0.34166996
121,0.158055247,,121,0.209053435,,121,0.188623209,,121,0.328015636
144,0.148164827,,144,0.204381076,,144,0.175749066,,144,0.315401722
169,0.140336682,,169,0.201960974,,169,0.161918423,,169,0.304192362
196,0.131831235,,196,0.199730242,,196,0.150634884,,196,0.292210108
225,0.124926655,,225,0.196876259,,225,0.140584677,,225,0.282713131
256,0.118835275,,256,0.193852033,,256,0.131153287,,256,0.273275743
289,0.112413223,,289,0.192432832,,289,0.123930969,,289,0.263814669
324,0.106917383,,324,0.189281297,,324,0.116259718,,324,0.256706174
361,0.101566415,,361,0.187236939,,361,0.110452442,,361,0.24931682
400,0.096562679,,400,0.185555106,,400,0.103619316,,400,0.241139646
441,0.091510907,,441,0.183567713,,441,0.099640074,,441,0.235687702
484,0.087296948,,484,0.181092738,,484,0.09310434,,484,0.229897669
529,0.083474345,,529,0.178185821,,529,0.089294545,,529,0.224048298
576,0.079451544,,576,0.176829935,,576,0.085448998,,576,0.218783869
625,0.075837358,,625,0.174590644,,625,0.082005909,,625,0.214490072
676,0.072586971,,676,0.172868804,,676,0.078499647,,676,0.208810578
729,0.070251799,,729,0.172415047,,729,0.074533202,,729,0.204447589
784,0.067336065,,784,0.16974505,,784,0.072425755,,784,0.199751635
841,0.064804538,,841,0.167222294,,841,0.068796047,,841,0.196545753
900,0.062495913,,900,0.167760024,,900,0.067017011,,900,0.192643471
961,0.06053575,,961,0.165634157,,961,0.063897043,,961,0.188707413
1024,0.058142654,,1024,0.162464847,,1024,0.06195483,,1024,0.18463981
1089,0.056162418,,1089,0.161964598,,1089,0.059763476,,1089,0.181839484
1156,0.053737604,,1156,0.161097931,,1156,0.057968584,,1156,0.178700902
1225,0.052295901,,1225,0.15869403,,1225,0.055664691,,1225,0.176116029
1296,0.050839086,,1296,0.158024439,,1296,0.054067008,,1296,0.172551255
1369,0.049046124,,1369,0.156622323,,1369,0.053158394,,1369,0.170853038
1444,0.048009281,,1444,0.155831824,,1444,0.050932694,,1444,0.168405833
1521,0.045882473,,1521,0.154476688,,1521,0.049414207,,1521,0.165425635
1600,0.045305733,,1600,0.152847033,,1600,0.048106209,,1600,0.163292133
1681,0.043752212,,1681,0.151947389,,1681,0.047254824,,1681,0.161205285
1764,0.042453591,,1764,0.151143816,,1764,0.046110803,,1764,0.159635165
1849,0.041770454,,1849,0.150248867,,1849,0.045197169,,1849,0.156682519
1936,0.040643015,,1936,0.148660278,,1936,0.043688357,,1936,0.155480683
